31-03-2026 19:44:59 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:59 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:59 | GET | cafeteria-api/produtos
31-03-2026 19:44:59 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:44:59 | DELETE | cafeteria-api/produtos
31-03-2026 19:44:59 | GET | cafeteria-api/produtos
31-03-2026 19:45:11 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:45:11 | POST | cafeteria-api/produtos
31-03-2026 19:45:11 | GET | cafeteria-api/produtos
31-03-2026 19:45:14 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:45:14 | DELETE | cafeteria-api/produtos
31-03-2026 19:45:14 | GET | cafeteria-api/produtos
31-03-2026 19:45:34 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:45:34 | POST | cafeteria-api/produtos
31-03-2026 19:45:34 | GET | cafeteria-api/produtos
31-03-2026 19:45:36 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:45:36 | DELETE | cafeteria-api/produtos
31-03-2026 19:45:36 | GET | cafeteria-api/produtos
31-03-2026 19:47:13 | GET | cafeteria-api/produtos
31-03-2026 19:47:13 | GET | cafeteria-api/produtos
31-03-2026 19:47:46 | GET | cafeteria-api/produtos
31-03-2026 19:47:48 | GET | cafeteria-api/produtos
31-03-2026 19:47:52 | GET | cafeteria-api/produtos
31-03-2026 19:47:56 | GET | cafeteria-api/produtos
31-03-2026 19:48:01 | GET | cafeteria-api/produtos
31-03-2026 19:48:04 | GET | cafeteria-api/produtos
31-03-2026 19:48:09 | GET | cafeteria-api/produtos
31-03-2026 19:48:13 | GET | cafeteria-api/produtos
31-03-2026 19:48:45 | GET | cafeteria-api/categorias
31-03-2026 19:48:57 | GET | cafeteria-api/categorias
31-03-2026 19:49:15 | GET | cafeteria-api/categorias
31-03-2026 19:49:16 | GET | cafeteria-api/produtos
31-03-2026 19:49:32 | GET | cafeteria-api/categorias
31-03-2026 19:49:33 | POST | cafeteria-api/categorias
31-03-2026 19:49:33 | GET | cafeteria-api/categorias
31-03-2026 19:49:39 | POST | cafeteria-api/categorias
31-03-2026 19:49:39 | GET | cafeteria-api/categorias
31-03-2026 19:49:42 | GET | cafeteria-api/produtos
